lesson, date
0,9/9/23
1,9/17/23
2,9/20/23
3,9/23/23
4,9/25/23 
5,9/30/23
6,10/2/23
7,10/7/23
8,10/9/23
9,10/14/23
10,10/16/23
11,10/21/23
12,10/23/23
13,11/1/23
14,11/4/23
15,11/6/23
16,11/11/23
17,11/15/23
18,11/18/23
19,11/20/23
20,11/25/23
21,11/29/23
22,12/2/23
23,12/6/23
24,12/9/23
25,1/13/24
26,1/20/24
27,1/27/24
28,2/3/24
29,2/17/24
30,2/19/24
31,3/2/24
32,3/9/24
33,3/16/24
34,3/23/24
35,3/27/24
36,4/6/24
37,4/10/24
38,4/27/24
39,5/4/24
40,5/11/24
41,5/20/24
42,6/1/24
43,6/5/24
44,6/22/24
45,6/29/24
46,7/6/24
47,7/9/24
48,7/17/24
49,7/22/24